PrecNo,PrecName,Tot,D2Pre,D2Sen,D2Att,D2Aud,D2Tre,ROSen,ROAtt,ROAud,ROTre
0077,77 SNOW SHOE WEST,280,24.175824175824175,32.083333333333336,39.08045977011494,38.589211618257266,46.12068965517241,2.857142857142858,6.428571428571428,6.071428571428572,7.499999999999996
0078,78 SPRING NORTH,954,39.3018018018018,40.8466819221968,40.943193997856376,43.82284382284382,46.20024125452352,0.2116402116402072,1.2698412698412653,2.4338624338624326,2.9629629629629672
0079,79 SPRING SOUTH,745,34.23019431988042,36.92077727952167,44.307270233196164,44.907407407407405,44.30577223088923,-0.40540540540541237,1.216216216216215,2.5675675675675635,2.837837837837842
0080,80 SPRING WEST,446,31.25,34.54545454545455,39.443155452436194,41.90231362467866,44.77211796246649,0.22573363431150906,2.257336343115124,2.257336343115124,2.483069977426633
0081,81 TAYLOR,439,17.96690307328605,23.232323232323232,24.88262910798122,26.041666666666668,26.96335078534031,1.8223234624145768,2.277904328018221,3.4168564920273314,3.1890660592255093
0082,82 UNION,751,17.67180925666199,25.146198830409354,27.335164835164832,29.515418502202646,29.27927927927928,0.8108108108108136,1.6216216216216162,2.5675675675675635,2.7027027027026973
0083,83 WALKER EAST,854,27.450980392156865,30.927835051546392,33.81468110709988,33.63994743758213,35.49257759784076,0.9389671361502372,2.464788732394363,4.225352112676061,4.577464788732399
0084,84 WALKER WEST,1673,32.1853475266124,32.73542600896861,35.982747997535434,37.798408488063664,39.46308724832215,1.139772045590881,2.5794841031793636,4.4391121775644855,4.4391121775644855
0085,85 WORTH,414,24.189526184538654,27.821522309711288,31.44963144963145,32.171581769437,33.33333333333333,0.9661835748792313,1.6908212560386437,4.347826086956519,5.072463768115942
0086,86 SPRING EAST,915,29.550827423167846,31.06682297772567,34.45190156599553,37.66388557806913,38.50931677018634,0.439560439560438,1.6483516483516536,2.7472527472527486,3.516483516483515
0087,87 SPRING SOUTHWEST,920,40.25821596244131,39.60047003525264,42.937219730941706,45.21212121212122,45.87945879458795,0.8724100327153761,2.6172300981461283,3.3805888767720838,3.8167938931297662
0088,88 FERGUSON NORTH 3,1002,68.73661670235546,62.30200633579726,64.76091476091476,66.02491506228766,65.54132712456344,0.5020080321285092,2.8112449799196804,3.0120481927710885,2.9116465863453844
0089,89 FERGUSON WEST CENTRAL,1096,61.62904808635917,55.34167468719923,55.00467726847521,56.86673448626654,57.64102564102564,0.9182736455463747,1.5610651974288348,4.775022956841135,5.142332415059691
0090,90 HALFMOON EAST CENTRAL,1007,42.365591397849464,39.91416309012876,40.46653144016227,43.4878587196468,42.46885617214043,0,0.9009009009009028,2.7027027027026973,3.4034034034034044
0091,91 FERGUSON NORTH CENTRAL,714,58.49335302806499,49.780380673499266,50.21398002853067,53.83458646616541,54.10852713178295,1.4025245441795287,1.6830294530154277,3.2258064516129004,3.6465638148667656
